scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario13210;13210;4;44;18;34;0.558242322;0.695665029;0.586342538;4.005396906;0.41287855;1995.120012;0.160004852;2828.389108;9
scenario13211;13211;2;46;18;34;0.557743485;0.696174484;0.58795259;6.965378431;0.415027048;1905.286628;0.160470472;2775.784487;9
scenario13212;13212;44;2;20;34;0.583158962;0.689267954;0.552835367;1.314504611;0.374175787;3828.344746;0.15085548;3935.31712;9
scenario13213;13213;42;4;20;34;0.582660125;0.689777409;0.554445419;1.327318384;0.375970985;3738.511363;0.151271309;3882.712499;9
scenario13214;13214;40;6;20;34;0.582161288;0.690286864;0.556055471;1.341413534;0.377781849;3648.677979;0.151689394;3830.107878;9
scenario13215;13215;38;8;20;34;0.581662452;0.69079632;0.557665523;1.356992384;0.379608585;3558.844596;0.152109753;3777.503257;9
scenario13216;13216;36;10;20;34;0.581163615;0.691305775;0.559275575;1.374302217;0.381451402;3469.011212;0.152532402;3724.898636;9
scenario13217;13217;34;12;20;34;0.580664779;0.69181523;0.560885627;1.393648502;0.383310513;3379.177828;0.152957361;3672.294015;9
scenario13218;13218;32;14;20;34;0.580165942;0.692324685;0.562495679;1.415413072;0.385186136;3289.344445;0.153384647;3619.689394;9
scenario13219;13219;30;16;20;34;0.579667105;0.69283414;0.564105731;1.440079585;0.387078492;3199.511061;0.153814279;3567.084773;9
scenario1322;1322;54;32;10;4;0.432025241;0.648905178;0.575706901;1.071210427;0.363837064;3880.676094;0.153927348;3603.086868;9
scenario13220;13220;28;18;20;34;0.579168269;0.693343596;0.565715783;1.468269885;0.388987805;3109.677677;0.154246274;3514.480152;9
scenario13221;13221;26;20;20;34;0.578669432;0.693853051;0.567325835;1.500797154;0.390914305;3019.844294;0.154680653;3461.875531;9
scenario13222;13222;24;22;20;34;0.578170596;0.694362506;0.568935888;1.538745635;0.392858224;2930.01091;0.155117433;3409.27091;9
